cashtag,name,link,avgrating,price,mktcap,anrecs,anrecscss,pev,pbv,estpeg,divyld,stockcode
$TENA,TENAGA NASIONAL,/mkt/themarket/stock/TENA,6.0,8.57,49303.87,HOLD,ana_yellow,13.58,0.88,0.64,4.65,TENA.KL
$TGLB,TEO GUAN LEE,/mkt/themarket/stock/TGLB,0.0,1.1,90.46,,,5.66,0.84,0.19,2.73,TGLB.KL
$TSCP,TEO SENG CAP,/mkt/themarket/stock/TSCP,7.0,0.74,222.01,SELL,ana_dred,9.68,0.71,0.01,0.0,TSCP.KL
$TXCY,TEX CYCLE TECHNO,/mkt/themarket/stock/TXCY,5.0,0.43,110.16,,,17.49,0.98,0.02,0.0,TXCY.KL
$TEXC,TEXCHEM RES'RCES,/mkt/themarket/stock/TEXC,8.0,3.28,414.17,OUTPERFORM,ana_lgreen,10.2,1.52,0.21,4.0,TEXC.KL
$TFPS,TFP SOLUTIONS,/mkt/themarket/stock/TFPS,2.0,0.06,35.15,,,0.0,2.19,-0.01,0.0,TFPS.KL
$THPB,TH PLANTATIONS,/mkt/themarket/stock/THPB,7.0,0.515,455.18,HOLD,ana_yellow,7.59,0.7,0.08,2.91,THPB.KL
$THET,THETA EDGE BHD,/mkt/themarket/stock/THET,5.0,0.82,96.73,,,0.0,1.67,-0.04,0.0,THET.KL
$TGIB,THONG GUAN INDUS,/mkt/themarket/stock/TGIB,9.0,2.55,994.97,OUTPERFORM,ana_lgreen,9.78,1.32,0.24,2.41,TGIB.KL
$THEA,THREE-A RESOURCE,/mkt/themarket/stock/THEA,10.0,0.925,455.1,BUY,ana_green,10.04,1.12,0.09,2.43,THEA.KL
$THRI,THRIVEN GLOBAL,/mkt/themarket/stock/THRI,2.0,0.135,73.84,,,0.0,0.45,-0.03,0.0,THRI.KL
$TWPH,TIEN WAH PRESS,/mkt/themarket/stock/TWPH,0.0,0.94,136.06,UNDERPERFORM,ana_red,321.92,0.48,0.04,5.96,TWPH.KL
$TWEL,TIMBERWELL,/mkt/themarket/stock/TWEL,8.0,0.485,43.19,,,5.89,0.74,0.07,4.12,TWEL.KL
$TCOM,TIME DOTCOM,/mkt/themarket/stock/TCOM,7.0,4.75,8723.78,OUTPERFORM,ana_lgreen,20.79,2.78,0.22,2.28,TCOM.KL
$TNTT,TIONG NAM LOGIST,/mkt/themarket/stock/TNTT,4.0,0.62,327.25,OUTPERFORM,ana_lgreen,79.08,0.41,0.01,1.61,TNTT.KL
$TITI,TITIJAYA LAND,/mkt/themarket/stock/TITI,1.0,0.24,326.61,HOLD,ana_yellow,1090.91,0.29,0.0,0.0,TITI.KL
$TMCN,TMC LIFE SCIENCE,/mkt/themarket/stock/TMCN,7.0,0.61,1062.55,,,24.0,1.2,0.02,0.47,TMCN.KL
$TMEI,TOMEI CONSOLIDAT,/mkt/themarket/stock/TMEI,9.0,0.965,133.75,,,2.28,0.5,0.24,3.08,TMEI.KL
$TOMY,TOMYPAK HOLDINGS,/mkt/themarket/stock/TOMY,6.0,0.405,174.6,HOLD,ana_yellow,0.0,3.59,-0.0,0.0,TOMY.KL
$THRB,TONG HERR RESOUR,/mkt/themarket/stock/THRB,10.0,2.88,453.4,HOLD,ana_yellow,5.07,0.92,0.42,5.17,THRB.KL
$TOPB,TOP BUILDERS CAP,/mkt/themarket/stock/TOPB,2.0,0.035,24.71,,,0.0,1.13,-0.28,0.0,TOPB.KL
$TPGC,TOP GLOVE CORP,/mkt/themarket/stock/TPGC,2.0,0.8,6565.68,UNDERPERFORM,ana_red,8.95,0.94,0.96,52.32,TPGC.KL
$TOPV,TOPVISION EYE,/mkt/themarket/stock/TOPV,0.0,0.735,191.7,,,0.0,8.29,0.02,0.0,TOPV.KL
$TWRE,TOWER REIT,/mkt/themarket/reit/TWRE,3.0,0.495,138.85,,,23.68,0.27,0.02,3.74,TWRE.KL
$TOYO,TOYO VENTURES,/mkt/themarket/stock/TOYO,1.0,0.64,75.33,,,0.0,0.56,0.0,4.69,TOYO.KL
$TPCP,TPC PLUS BHD,/mkt/themarket/stock/TPCP,0.0,0.205,63.19,,,0.0,1.01,-0.1,0.0,TPCP.KL
$TRMO,TradePlus DWA Malaysia Momentum Tracker,/mkt/themarket/etf/TRMO,0.0,0.945,0.95,,,0.0,0.0,0.0,0.0,TRMO.KL
$TRHI,TradePlus HSCEI Daily (-1x) Inverse Tracker,/mkt/themarket/etf/TRHI,0.0,2.18,1.31,,,0.0,0.0,0.0,0.0,TRHI.KL
$TRHL,TradePlus HSCEI Daily (2x) Leveraged Tracker,/mkt/themarket/etf/TRHL,0.0,0.59,0.32,,,0.0,0.0,0.0,0.0,TRHL.KL
$TRAX,TradePlus MSCI Asia Ex Japan Reits Tracker,/mkt/themarket/etf/TRAX,0.0,0.915,3.89,,,0.0,0.0,0.0,0.0,TRAX.KL
